feature,neural_importance
overheat_count,62176.668
vehicle_age_years,54194.633
mileage_per_year,44272.887
dtc_major,30915.99
voltage_drop_count,25713.172
elec_thermal_risk,22660.535
vtype_ambulance,18711.611
efficiency_degradation,17413.672
vtype_utility,12734.476
r30d_coolant_mean,12403.898
vtype_truck,11430.109
vtype_transport,10490.184
r90d_voltage_drops,10261.047
vtype_armored_carrier,10076.816
r90d_coolant_mean,9954.681
r7d_voltage_drops,9557.746
r90d_fuel_mean,9497.938
avg_speed,9484.946
r30d_fuel_mean,9464.148
r30d_voltage_drops,8986.951
dtc_total,8620.891
r90d_load_mean,8571.224
r7d_fuel_mean,7797.2617
r7d_coolant_mean,7359.8535
r30d_load_mean,7323.24
r7d_load_mean,6961.5474
dtc_active,6662.352
avg_rpm,6617.12
total_mileage,6176.108
dtc_critical,6029.2817
temp_trend,5684.8174
dtc_minor,5575.5083
std_coolant_temp,5284.8193
thermal_stress_index,5189.5244
total_refuels,4573.221
total_harsh_events,4557.242
total_engine_hours,4057.9827
avg_cargo_weight,4013.6018
p95_load,3993.4873
avg_engine_load,3978.5256
avg_coolant_temp,3600.8872
high_load_count,3576.401
abuse_rate,3505.506
max_coolant_temp,3453.5725
total_trips,3349.2344
avg_voltage,3344.8606
p05_voltage,3291.3105
max_efficiency,3230.4438
efficiency_slope,3190.684
avg_terrain_diff,3186.3345
combat_ratio,3153.864
avg_efficiency,3043.415
avg_trip_distance,2929.7317
total_idle_min,2897.1023
avg_fuel_lph,2868.0361
p95_coolant,2676.8955
min_efficiency,2648.6687
fuel_slope,2521.1636
idle_ratio,2306.9478
min_voltage,2300.8706
