feature,importance
vehicle_age_years,0.62490165
overheat_count,0.47667566
neural_interaction_1,0.32728264
voltage_drop_count,0.20229249
dtc_major,0.1770084
elec_thermal_risk,0.11990929
vtype_ambulance,0.1138381
efficiency_degradation,0.10755288
neural_interaction_3,0.08644844
vtype_utility,0.06977092
vtype_truck,0.06938672
neural_uncertainty,0.06809171
vtype_transport,0.056362223
vtype_armored_carrier,0.053729877
neural_interaction_2,0.047118608
avg_cargo_weight,0.040541537
latent_2,0.029912729
dtc_active,0.017813196
mileage_per_year,0.011509119
neural_interaction_0,0.007920162
latent_6,0.0035514783
latent_9,0.0033921148
latent_7,0.0028069762
total_refuels,0.0027328013
p05_voltage,0.002320256
latent_8,0.0018058011
total_idle_min,0.0016376345
latent_5,0.0015607307
latent_0,0.0012898329
avg_trip_distance,0.0010884797
latent_1,0.00083878083
latent_3,0.0007344034
latent_4,0.00057758816
std_coolant_temp,0.000510546
max_efficiency,0.00050287193
efficiency_slope,0.00040721908
fuel_slope,0.0003174983
p95_load,0.00030974814
min_voltage,0.00024347975
avg_speed,0.00017031185
max_coolant_temp,0.00015891997
total_engine_hours,0.0001579704
avg_efficiency,9.5898584e-05
avg_terrain_diff,9.1249734e-05
avg_fuel_lph,5.9178896e-05
abuse_rate,5.8832917e-05
total_trips,4.6906334e-05
total_mileage,4.677376e-05
r90d_coolant_mean,3.572323e-05
avg_rpm,2.4844863e-05
thermal_stress_index,1.9759806e-05
r90d_load_mean,9.330712e-06
avg_coolant_temp,0.0
r7d_coolant_mean,0.0
avg_voltage,0.0
high_load_count,0.0
avg_engine_load,0.0
p95_coolant,0.0
idle_ratio,0.0
r90d_fuel_mean,0.0
temp_trend,0.0
r30d_fuel_mean,0.0
r90d_voltage_drops,0.0
r7d_fuel_mean,0.0
r30d_coolant_mean,0.0
r30d_voltage_drops,0.0
r30d_load_mean,0.0
r7d_load_mean,0.0
r7d_voltage_drops,0.0
dtc_minor,0.0
dtc_critical,0.0
total_harsh_events,0.0
min_efficiency,0.0
dtc_total,0.0
combat_ratio,0.0
